CookerStat, GenerateAssetRegistry=0.038877, Initialize=0.201531, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_2F8E37C64E52906F6B725DB4ADC0CFA0_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.46.04, Duration=242.051758, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_27, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_2F8E37C64E52906F6B725DB4ADC0CFA0___BAC199D91F2533592A76ECDF24A99C0AC1F50533, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=1048837, Duration=10.409389, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_28, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_2F8E37C64E52906F6B725DB4ADC0CFA0___DB8337AA83630D425E15A7DC02B4213FA0EC14E5, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=262403, Duration=9.298786, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_29, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_2F8E37C64E52906F6B725DB4ADC0CFA0___BE9BF513B5BB885D058592A5893C29C99D56B894, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=65795, Duration=7.343177, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_30, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_2F8E37C64E52906F6B725DB4ADC0CFA0___A8B94642CB2AC3465B96C1E139BD9A957BD4C3FE, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=16643, Duration=7.368989, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_31, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_2F8E37C64E52906F6B725DB4ADC0CFA0___516711523922CF72BFD063A2A942B1905E61DD61, StartTime=2016.04.14-12.46.04, HierarchicalDDC=, DataSize=7175, Duration=10.444223, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionIdA4FAA0E1485B542DFE65D0B8A9AD8756_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1D6770F4414E4EE7A7BC04B6FE92A8FE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.14-12.46.04, Duration=2364.032471, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_32, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1D6770F4414E4EE7A7BC04B6FE92A__94905B99FA3776307791A6B0079998905CEB4BD0, StartTime=2016.04.14-12.46.07, HierarchicalDDC=, DataSize=524553, Duration=13.872448, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_33, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1D6770F4414E4EE7A7BC04B6FE92A__6EB4077D88099CF2BEE12B896D23FFEC6F69E4BA, StartTime=2016.04.14-12.46.07, HierarchicalDDC=, DataSize=131335, Duration=7.920403, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
DDCTransactionId47C0316F45AA1FF2B5D7F1A35C9E4840_34, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1D6770F4414E4EE7A7BC04B6FE92A__81A1CD797B04267CD6BF79AC04A6E1D8AE2A7EA1, StartTime=2016.04.14-12.46.07, HierarchicalDDC=, DataSize=33031, Duration=10.450136, RunGuid=RunID85A47C0543573FFE43D70DB5AC6448D4
